timestamp,client_id,job_id,status,duration_hours,deadline,redundancy
2025-11-04 17:14:53,P/Xekk,P/Xekk-171451-643,Pending,1,2025-11-04T18:00,1
2025-11-04 17:15:23,P/Xekk,P/Xekk-171518-780,Pending,1,2025-11-06T00:00,1
2025-11-04 17:15:46,P/Xekk,P/Xekk-171545-663,Pending,2,2025-11-07T00:00,2
2025-11-04 17:24:22,P/Xekk,P/Xekk-172421-803,Pending,1,2026-01-01T00:00,3
2025-11-04 17:25:23,P/Xekk,P/Xekk-172521-167,Pending,1,2026-01-02T00:00,1
2025-11-04 17:54:54,P/Xekk,P/Xekk-175450-626,Pending,5,2025-12-12T18:00,2
2025-11-04 17:55:16,P/Xekk,P/Xekk-175515-980,Pending,6,2025-12-21T00:00,1
2025-11-04 17:55:49,P/Xekk,P/Xekk-175547-941,Pending,6,2025-11-17T00:00,4
2025-11-04 22:00:25,P/Xekk,P/Xekk-220023-582,Pending,7,2025-11-13T00:00,2
2025-11-04 22:00:40,P/Xekk,P/Xekk-220039-757,Pending,3,2025-11-27T00:00,2
